CRASH DATE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1/1/23,40.86231,-73.909874,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Motorcycle,,,,
1/1/23,40.84292,-73.8494,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Moped,,,,
1/1/23,40.71032,-73.84998,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
1/1/23,40.641506,-74.02111,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,Motorcycle,Station Wagon/Sport Utility Vehicle,Sedan,,
1/1/23,40.63313,-74.075356,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
1/2/23,40.866997,-73.902084,1,0,0,0,0,0,1,0,Passing Too Closely,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/2/23,40.854168,-73.93371,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Sedan,Moped,,,
1/2/23,40.81305,-73.95654,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,Moped,Sedan,,,
1/2/23,40.79761,-73.93921,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Pavement Slippery,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/2/23,40.7963,-73.93829,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,Sedan,Moped,,,
1/2/23,40.758125,-73.928505,1,0,0,0,0,0,1,0,Unspecified,,,,,Motorcycle,,,,
1/2/23,40.75699,-73.89227,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,,,,Motorcycle,Sedan,,,
1/2/23,40.545578,-74.22228,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
1/3/23,40.851807,-73.90683,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Moped,,,
1/3/23,40.83872,-73.91378,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,,,,,Motorscooter,Motorscooter,,,
1/3/23,40.780228,-73.96137,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,Taxi,Motorscooter,,,
1/3/23,40.73634,-73.93266,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Pick-up Truck,Moped,,,
1/3/23,40.68555,-73.87156,1,0,1,0,0,0,0,0,Drugs (illegal),,,,,Moped,,,,
1/3/23,40.678364,-73.77949,1,0,0,0,0,0,1,0,Aggressive Driving/Road Rage,Unspecified,,,,Sedan,Motorcycle,,,
1/3/23,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,Sedan,Motorcycle,,,
1/4/23,40.711723,-73.736626,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,Motorbike,,,,
1/4/23,0,0,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,Motorscooter,Box Truck,,,
1/5/23,40.70537,-73.775826,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,Motorcycle,MTA ESU VE,Station Wagon/Sport Utility Vehicle,,
1/5/23,40.67978,-73.99519,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Motorcycle,,,,
1/5/23,40.66955,-73.94497,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Motorcycle,Bike,,,
1/5/23,40.542427,-74.14591,0,1,0,0,0,0,0,1,Unsafe Speed,Unspecified,,,,Sedan,Motorcycle,,,
1/5/23,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Motorbike,,,
1/6/23,40.74459,-73.884674,2,0,0,0,0,0,2,0,Unsafe Speed,Traffic Control Disregarded,,,,Motorcycle,Sedan,,,
1/6/23,40.682423,-73.97069,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Moped,,,
1/7/23,40.744915,-73.903694,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
1/7/23,40.733963,-73.87203,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,,,,,Moped,,,,
1/8/23,40.86131,-73.92124,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Moped,,,
1/8/23,40.844685,-73.9408,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Sedan,Motorscooter,,,
1/8/23,40.840927,-73.912704,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Sedan,Moped,,,
1/8/23,40.806393,-73.92641,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Sedan,Motorcycle,,,
1/8/23,40.73737,-73.98365,1,0,0,0,0,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Passing or Lane Usage Improper,,,,Taxi,MOPED,,,
1/9/23,40.656216,-73.917534,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
1/10/23,40.850475,-73.915436,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Moped,,
1/10/23,40.76958,-73.9156,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,Sedan,Moped,,,
1/10/23,40.73064,-73.980804,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,Motorcycle,Bike,,,
1/10/23,40.724945,-73.951454,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Driver Inexperience,,,,Station Wagon/Sport Utility Vehicle,Moped,,,
1/10/23,40.69897,-73.95702,2,0,0,0,0,0,2,0,Turning Improperly,Unspecified,,,,Motorcycle,,,,
1/10/23,40.690773,-73.9243,0,0,0,0,0,0,0,0,Turning Improperly,Following Too Closely,,,,Sedan,Motorscooter,,,
